"Date	ActualValue11	ForecastValue11	PreviousValue11"
"2024.05.15	0.3	0.2	0.3"
"2024.03.08	0.3	0.3	0.3"
"2024.02.14	0.3	0.3	0.2"
"2023.12.07	0.2	0.3	0.3"
"2023.11.14	0.3	0.3	0.1"
"2023.09.07	0.2	0.2	0.2"
"2023.08.16	0.2	0.3	0.5"
"2023.06.08	0.6	0.6	0.6"
"2023.05.16	0.6	0.3	0.3"
"2023.03.08	0.3	0.4	0.4"
"2023.02.14	0.4	0.3	0.3"
"2022.12.07	0.3	0.2	0.2"
"2022.11.15	0.2	0.5	0.4"
"2022.09.07	0.4	0.3	0.3"
"2022.08.17	0.3	0.2	0.6"
"2022.06.08	0.6	0.5	0.5"
"2022.05.17	0.5	0.2	0.4"
"2022.03.08	0.5	0.5	0.5"
"2022.02.15	0.5	0.4	1.0"
"2021.12.07	0.9	0.9	0.9"
"2021.11.16	0.9	0.0	0.7"
"2021.09.07	0.7	0.5	0.5"
"2021.08.17	0.5	-0.5	-0.2"
"2021.06.08	-0.3	-0.3	-0.3"
"2021.05.18	-0.3	0.7	0.4"
"2021.03.09	0.3	0.3	0.3"
"2021.02.16	0.3	-0.4	1.0"
"2020.12.08	1.0	0.9	0.9"
"2020.11.13	0.9	-3.1	-2.9"
"2020.09.08	-2.9	-2.8	-2.8"
"2020.08.14	-2.8	-0.1	-0.2"
"2020.06.09	-0.2	-0.2	-0.2"
"2020.05.15	-0.2	0.1	0.3"
"2020.03.10	0.3	0.3	0.3"
"2020.02.14	0.3	0.1	0.1"
"2019.12.05	0.1	0.1	0.1"
"2019.11.14	0.1	0.2	0.2"
"2019.09.06	0.2	0.2	0.2"
"2019.08.14	0.2	0.3	0.4"
"2019.06.06	0.3	0.3	0.3"
"2019.05.15	0.3	0.3	0.3"
"2019.03.07	0.3	0.3	0.3"
"2019.02.14	0.3	0.3	0.2"
"2018.12.07	0.2	0.4	0.2"
"2018.11.14	0.2	0.4	0.4"
"2018.09.11	0.4	0.4	0.4"
"2018.06.13	0.4	0.5	0.3"
"2018.03.14	0.3	0.5	0.4"
"2017.12.13	0.4	0.3	0.4"
"2017.09.13	0.4	0.3	0.5"
"2017.06.14	0.4	0.2	0.4"
"2017.03.15	0.3		0.2"
"2016.12.13	0.2		0.4"
"2016.09.13	0.4		0.4"
"2016.06.14	0.3		0.3"
"2016.03.15	0.3		0.3"
"2015.12.15	0.3		0.4"
"2015.09.15	0.3		0.2"
"2015.06.16	0.1		0.1"
"2015.03.17	0.1		0.2"
"2014.12.12	0.2		0.2"
"2014.09.12	0.3		0.1"
"2014.06.13	0.1		0.1"
"2014.03.14	0.1		0.0"
"2013.12.13	0.0		-0.1"
"2013.09.13	0.0		-0.5"
"2013.06.14	-0.4		-0.3"
"2013.03.14	-0.3		-0.2"
"2012.12.14	-0.1		0.0"
"2012.09.14	0.0		-0.2"
"2012.06.15	-0.2		-0.2"
"2012.03.15	-0.3		-0.1"
"2011.12.15	-0.2		0.3"
"2011.09.15	0.2		0.1"
"2011.06.16	0.1		0.1"
"2011.03.15	0.2		0.0"
"2010.12.15	0.0		0.0"
"2010.09.15	0.1		0.0"
"2010.06.15	0.0		-0.3"
"2010.03.15	-0.2		-0.5"
"2009.12.14	-0.5		-0.5"
"2009.09.14	-0.6		-0.7"
"2009.06.15	-0.8		-0.4"
"2009.03.16	-0.3		-0.1"
"2008.12.16	-0.2		0.2"
"2008.09.12	0.1		0.3"
"2008.06.13	0.3		0.2"
"2008.03.17	0.3		0.3"
"2007.12.12	0.3		0.5"
"2007.09.13	0.6		0.4"
"2007.08.13	0.4		0.3"
"2007.03.14	0.3		"
