"Date	ActualValue12	ForecastValue12	PreviousValue12"
"2024.05.21	0.2	-0.2	0,2"
"2024.04.19	0.2	-0.4	-0.4"
"2024.03.20	-0.4	-0.4	0.2"
"2024.03.08	0.2	-0.3	-0.8"
"2024.01.19	-1.2	-0.2	-0.5"
"2023.12.20	-0.5	-0.4	-0.1"
"2023.11.20	-0.1	-0.5	-0.2"
"2023.10.20	-0.2	-0.6	0.3"
"2023.09.20	0.3	-0.9	-1.1"
"2023.08.21	-1.1	-3.2	-0.3"
"2023.07.20	-0.3	-3.6	-1.4"
"2023.06.20	-1.4	-3.3	0.3"
"2023.05.19	0.3	-4.5	-1.4"
"2023.04.20	-2.6	-3.2	-0.3"
"2023.03.20	-0.3	-3.0	-1.2"
"2023.02.17	-1.0	-3.5	-0.4"
"2023.01.20	-0.4	-1.7	-3.9"
"2022.12.20	-3.9	-2.0	-4.2"
"2022.11.21	-4.2	4.5	2.3"
"2022.10.20	2.3	6.3	7.9"
"2022.09.20	7.9	3.7	5.3"
"2022.08.19	5.3	0.9	0.6"
"2022.07.20	0.6	2.9	1.6"
"2022.06.20	1.6	3.3	2.8"
"2022.05.20	2.8	3.7	4.9"
"2022.04.20	4.9	3.4	1.4"
"2022.03.21	1.4	3.4	2.2"
"2022.02.21	2.2	4.6	5.0"
"2022.01.20	5.0	1.6	0.8"
"2021.12.17	0.8	3.3	3.8"
"2021.11.19	3.8	1.6	2.3"
"2021.10.20	2.3	1.3	1.5"
"2021.09.20	1.5	1.2	1.9"
"2021.08.20	1.9	0.9	1.3"
"2021.07.20	1.3	0.9	1.5"
"2021.06.18	1.5	0.9	0.8"
"2021.05.20	0.8	1.0	0.9"
"2021.04.20	0.9	0.9	0.7"
"2021.03.19	0.7	0.7	1.4"
"2021.02.19	1.4	0.1	0.8"
"2021.01.20	0.8	-0.1	0.2"
"2020.12.18	0.2	-0.1	0.1"
"2020.11.20	0.1	-0.2	0.4"
"2020.10.20	0.4	-0.1	0.0"
"2020.09.18	0.0	-0.2	0.2"
"2020.08.20	0.2	-0.2	0.0"
"2020.07.20	0.0	-0.3	-0.4"
"2020.06.19	-0.4	-0.1	-0.7"
"2020.05.15	-0.7	0.0	-0.8"
"2020.04.20	-0.8	0.1	-0.4"
"2020.03.20	-0.4	0.1	0.8"
"2020.02.20	0.8	0.0	0.1"
"2020.01.20	0.1	-0.1	0.0"
"2019.12.18	0.0	-0.2	-0.2"
"2019.11.20	-0.2	-0.1	0.1"
"2019.10.21	0.1	-0.2	-0.5"
"2019.09.20	-0.5	-0.2	0.1"
"2019.08.20	0.1	-0.3	-0.4"
"2019.07.19	-0.4	0.2	-0.1"
"2019.06.19	-0.1	0.2	0.5"
"2019.05.20	0.5	-0.1	-0.1"
"2019.04.18	-0.1	0.2	-0.1"
"2019.03.20	-0.1	0.0	0.4"
"2019.02.20	0.4	-0.2	-0.4"
"2019.01.21	-0.4	0.2	0.1"
"2018.12.19	0.1	0.4	0.3"
"2018.11.20	0.3	0.4	0.5"
"2018.10.23	0.5		0.3"
"2018.10.05	0.3		0.2"
"2018.08.20	0.2		0.3"
"2018.07.20	0.3		0.5"
"2018.06.20	0.5		0.5"
"2018.05.18	0.5		0.1"
"2018.04.20	0.1		-0.1"
"2018.03.20	-0.1		0.5"
"2018.02.20	0.5		0.2"
"2018.01.19	0.2		0.1"
"2017.12.20	0.1		0.3"
"2017.11.20	0.3		0.3"
"2017.10.20	0.3		0.2"
"2017.09.20	0.2		0.2"
"2017.08.18	0.2		0.0"
"2017.07.20	0.0		-0.2"
"2017.06.20	-0.2		0.4"
"2017.05.19	0.4		0.0"
"2017.04.20	0.0		0.2"
"2017.03.20	0.2		0.7"
"2017.02.20	0.7		0.4"
"2017.01.20	0.4		0.3"
"2016.12.20	0.3		0.7"
"2016.11.18	0.7		-0.2"
"2016.10.20	-0.2		-0.1"
"2016.09.20	-0.1		0.2"
"2016.08.19	0.2		0.4"
"2016.07.20	0.4		0.4"
"2016.06.20	0.4		0.1"
"2016.05.20	0.1		0.0"
"2016.04.20	0.0		-0.5"
"2016.03.18	-0.5		-0.7"
"2016.02.19	-0.7		-0.5"
"2016.01.20	-0.5		-0.2"
"2015.12.21	-0.2		-0.4"
"2015.11.20	-0.4		-0.4"
"2015.10.20	-0.4		-0.5"
"2015.09.21	-0.5		0.0"
"2015.08.20	0.0		-0.1"
"2015.07.20	-0.1		0.0"
"2015.06.19	0.0		0.1"
"2015.05.20	0.1		0.1"
"2015.04.20	0.1		0.1"
"2015.03.20	0.1		-0.6"
"2015.02.20	-0.6		-0.7"
"2015.01.20	-0.7		0.0"
"2014.12.19	0.0		-0.2"
"2014.11.20	-0.2		0.0"
"2014.10.20	0.0		-0.1"
"2014.09.19	-0.1		-0.1"
"2014.08.20	-0.1		0.0"
"2014.07.21	0.0		-0.2"
"2014.06.20	-0.2		-0.1"
"2014.05.20	-0.1		-0.3"
"2014.04.17	-0.3		0.0"
"2014.03.20	0.0		-0.1"
"2014.02.20	-0.1		0.1"
"2014.01.20	0.1		-0.1"
"2013.12.20	-0.1		-0.2"
"2013.11.20	-0.2		0.3"
"2013.10.21	0.3		-0.1"
"2013.10.04	-0.1		-0.1"
"2013.08.20	-0.1		0.0"
"2013.07.19	0.0		-0.3"
"2013.06.20	-0.3		-0.2"
"2013.05.21	-0.2		-0.2"
"2013.04.19	-0.2		-0.1"
"2013.03.20	-0.1		0.8"
"2013.02.20	0.8		-0.3"
"2013.01.21	-0.3		-0.1"
"2012.12.20	-0.1		0.0"
"2012.11.20	0.0		0.3"
"2012.10.19	0.3		0.5"
"2012.09.20	0.5		0.0"
"2012.08.17	0.0		-0.4"
"2012.07.20	-0.4		-0.3"
"2012.06.20	-0.3		0.2"
"2012.05.18	0.2		0.6"
"2012.04.20	0.6		0.4"
"2012.03.20	0.4		0.6"
"2012.02.17	0.6		-0.4"
"2012.01.20	-0.4		0.1"
"2011.12.20	0.1		0.2"
"2011.11.18	0.2		0.3"
"2011.10.20	0.3		-0.3"
"2011.09.20	-0.3		0.7"
"2011.08.19	0.7		0.1"
"2011.07.20	0.1		0.0"
"2011.06.20	0.0		1.0"
"2011.05.20	1.0		0.4"
"2011.04.20	0.4		0.7"
"2011.03.18	0.7		1.2"
"2011.02.18	1.2		0.7"
"2011.01.20	0.7		0.2"
"2010.12.20	0.2		0.4"
"2010.11.19	0.4		0.3"
"2010.10.20	0.3		0.0"
"2010.09.17	0.0		0.5"
"2010.08.19	0.5		0.6"
"2010.07.20	0.6		0.3"
"2010.06.18	0.3		0.8"
"2010.05.20	0.8		0.7"
"2010.04.20	0.7		0.0"
"2010.03.19	0.0		0.8"
"2010.02.19	0.8		-0.1"
"2010.01.20	-0.1		0.1"
"2009.12.18	0.1		0.0"
"2009.11.20	0.0		-0.5"
"2009.10.20	-0.5		0.5"
"2009.09.18	0.5		-1.5"
"2009.08.19	-1.5		-0.1"
"2009.07.20	-0.1		0.0"
"2009.06.19	0.0		-1.4"
"2009.05.20	-1.4		-0.7"
"2009.04.21	-0.7		-0.5"
"2009.03.20	-0.5		-1.2"
"2009.03.11	-1.2		-1.0"
"2009.01.21	-0.8		-1.5"
"2008.12.19	-1.5		0.0"
"2008.11.20	0.0		0.3"
"2008.10.20	0.3		-0.6"
"2008.09.19	-0.6		2.0"
"2008.08.19	2.0		0.9"
"2008.07.18	0.9		1.0"
"2008.06.20	1.0		1.1"
"2008.05.20	1.1		0.7"
"2008.04.18	0.7		0.7"
"2008.03.20	0.7		0.8"
"2008.02.20	0.8		-0.1"
"2008.01.21	-0.1		0.8"
"2007.12.19	0.8		0.4"
"2007.11.20	0.4		0.2"
"2007.10.19	0.2		0.1"
"2007.09.19	0.1		-0.1"
"2007.08.17	-0.1		0.2"
"2007.07.19	0.2		0.3"
"2007.06.19	0.3		0.1"
"2007.05.18	0.1		0.3"
"2007.04.19	0.3		0.3"
"2007.03.20	0.3		0.0"
"2007.02.20	0.0		"
