"Date	ActualValue17	ForecastValue17	PreviousValue17"
"2024.05.22	4.14	4.02	4.22"
"2024.04.18	4.19	4.18	4.38"
"2024.03.21	4.38	3.88	4.00"
"2024.02.22	4.00	3.79	3.88"
"2024.01.19	3.78	3.80	3.82"
"2023.12.20	3.82	3.79	3.79"
"2023.11.21	3.79	3.88	3.95"
"2023.10.19	3.96	3.83	4.04"
"2023.09.21	4.04	4.03	4.07"
"2023.08.22	4.07	4.41	4.16"
"2023.07.20	4.16	4.29	4.30"
"2023.06.22	4.30	3.93	4.29"
"2023.05.18	4.28	4.47	4.43"
"2023.04.20	4.44	4.94	4.55"
"2023.03.21	4.58	4.31	4.00"
"2023.02.21	4.00	4.06	4.03"
"2023.01.20	4.02	3.87	4.08"
"2022.12.21	4.09	4.42	4.43"
"2022.11.18	4.43	4.97	4.71"
"2022.10.20	4.71	4.85	4.78"
"2022.09.21	4.80	5.16	4.82"
"2022.08.18	4.81	5.16	5.11"
"2022.07.20	5.12	5.53	5.41"
"2022.06.21	5.41	5.47	5.60"
"2022.05.19	5.61	5.49	5.75"
"2022.04.20	5.77	6.14	5.93"
"2022.03.18	6.02	6.52	6.49"
"2022.02.18	6.50	6.00	6.09"
"2022.01.20	6.18	6.44	6.48"
"2021.12.22	6.46	6.55	6.34"
"2021.11.22	6.34	6.69	6.29"
"2021.10.21	6.29	5.64	5.88"
"2021.09.22	5.88	5.46	6.00"
"2021.08.23	5.99	5.56	5.87"
"2021.07.22	5.86	6.01	5.78"
"2021.06.22	5.80	6.05	5.85"
"2021.05.21	5.85	5.63	6.01"
"2021.04.22	6.01	5.69	6.24"
"2021.03.22	6.22	7.24	6.66"
"2021.02.19	6.69	7.10	6.65"
"2021.01.22	6.76	7.02	6.71"
"2020.12.22	6.69	6.62	6.86"
"2020.11.19	6.85	5.97	6.57"
"2020.10.22	6.54	5.77	5.98"
"2020.09.22	6.00	6.40	5.86"
"2020.08.21	5.86	5.19	4.70"
"2020.07.22	4.72	4.21	3.91"
"2020.06.22	3.91	5.14	4.33"
"2020.05.21	4.33	5.52	5.27"
"2020.04.21	5.27	5.54	5.76"
"2020.03.20	5.77	5.42	5.42"
"2020.02.21	5.46	5.42	5.53"
"2020.01.22	5.54	5.36	5.35"
"2019.12.19	5.35	5.35	5.44"
"2019.11.21	5.46	5.31	5.36"
"2019.10.22	5.38	5.25	5.50"
"2019.09.19	5.49	5.23	5.42"
"2019.08.21	5.42	5.22	5.29"
"2019.07.23	5.27	5.20	5.36"
"2019.06.21	5.34	5.20	5.21"
"2019.05.21	5.19	5.24	5.21"
"2019.04.22	5.21	5.07	5.48"
"2019.03.22	5.51	5.20	4.93"
"2019.02.21	4.94	5.20	5.00"
"2019.01.22	4.99	5.26	5.33"
"2018.12.19	5.32	5.27	5.22"
"2018.11.21	5.22	5.27	5.15"
"2018.10.19	5.15	5.38	5.33"
"2018.09.20	5.34	5.44	5.34"
"2018.08.22	5.34	5.48	5.38"
"2018.07.23	5.38	5.47	5.41"
"2018.06.20	5.43	5.44	5.45"
"2018.05.24	5.46	5.45	5.60"
"2018.04.23	5.60	5.50	5.54"
"2018.03.21	5.54	5.62	5.38"
"2018.02.21	5.38	5.70	5.56"
"2018.01.24	5.57	5.60	5.78"
"2017.12.20	5.81	5.41	5.50"
"2017.11.21	5.48	5.38	5.37"
"2017.10.20	5.39	5.45	5.35"
"2017.09.20	5.35	5.55	5.44"
"2017.08.24	5.44	5.61	5.51"
"2017.07.24	5.52	5.60	5.62"
"2017.06.21	5.62	5.57	5.56"
"2017.05.24	5.57	5.58	5.70"
"2017.04.21	5.71		5.47"
"2017.03.22	5.48		5.69"
"2017.02.22	5.69		5.51"
"2017.01.24	5.49		5.65"
"2016.12.21	5.61		5.57"
"2016.11.22	5.60		5.49"
"2016.10.20	5.47		5.30"
"2016.09.22	5.33		5.38"
"2016.08.24	5.39		5.57"
"2016.07.21	5.57		5.51"
"2016.06.22	5.53		5.43"
"2016.05.20	5.45		5.36"
"2016.04.20	5.33		5.07"
"2016.03.21	5.08		5.47"
"2016.02.23	5.47		5.45"
"2016.01.22	5.46		4.76"
"2015.12.22	4.76		5.32"
"2015.11.23	5.36		5.55"
"2015.10.22	5.55		5.30"
"2015.09.21	5.31		5.58"
"2015.08.20	5.59		5.48"
"2015.07.22	5.49		5.32"
"2015.06.22	5.35		5.09"
"2015.05.21	5.04		5.21"
"2015.04.22	5.19		4.88"
"2015.03.23	4.89		4.82"
"2015.02.23	4.82		5.04"
"2015.01.23	5.07		4.93"
"2014.12.22	4.92		5.26"
"2014.11.20	5.25		5.17"
"2014.10.21	5.18		5.05"
"2014.09.22	5.05		5.15"
"2014.08.21	5.14		5.03"
"2014.07.22	5.03		4.89"
"2014.06.23	4.91		4.65"
"2014.05.22	4.66		4.59"
"2014.04.22	4.59		4.60"
"2014.03.20	4.60		4.62"
"2014.02.21	4.62		4.87"
"2014.01.23	4.87		4.90"
"2013.12.19	4.82		5.12"
"2013.11.20	5.12		5.29"
"2013.10.21	5.29		5.48"
"2013.09.19	5.48		5.39"
"2013.08.21	5.39		5.08"
"2013.07.22	5.06		5.18"
"2013.06.20	5.14		4.97"
"2013.05.22	4.97		4.92"
"2013.04.22	4.94		4.98"
"2013.03.21	4.95		4.92"
"2013.02.21	4.94		4.94"
"2013.01.22	4.90		5.04"
"2012.12.20	4.99		4.79"
"2012.11.19	4.76		4.75"
"2012.10.19	4.69		4.83"
"2012.09.19	4.83		4.47"
"2012.08.22	4.47		4.37"
"2012.07.19	4.37		4.55"
"2012.06.21	4.62		4.62"
"2012.05.22	4.62		4.48"
"2012.04.19	4.47		4.59"
"2012.03.21	4.60		4.57"
"2012.02.22	4.63		4.61"
"2012.01.20	4.38		4.42"
"2011.12.21	4.39		4.97"
"2011.11.21	4.25		4.91"
"2011.10.20	4.90		5.03"
"2011.09.21	5.06		4.67"
"2011.08.18	4.67		4.77"
"2011.07.20	4.84		4.81"
"2011.06.21	4.81		5.05"
"2011.05.19	5.00		5.10"
"2011.04.20	5.09		4.88"
"2011.03.21	4.92		5.36"
"2011.02.23	5.40		5.28"
"2011.01.20	5.22		4.68"
"2010.12.22	4.70		4.43"
"2010.11.23	4.43		4.53"
"2010.10.25	4.53		4.13"
"2010.09.23	4.12		3.83"
"2010.08.24	3.83		5.37"
"2010.07.22	5.26		5.66"
"2010.06.22	5.66		5.77"
"2010.05.24	5.77		5.35"
"2010.04.22	5.36		5.02"
"2010.03.23	5.01		5.05"
"2010.02.26	5.05		5.45"
"2010.01.25	5.45		6.54"
"2009.12.22	6.54		6.10"
"2009.11.23	6.10		5.57"
"2009.10.23	5.54		5.10"
"2009.09.24	5.09		5.24"
"2009.08.21	5.24		4.89"
"2009.07.23	4.89		4.77"
"2009.06.23	4.77		4.68"
"2009.05.27	4.66		4.57"
"2009.04.23	4.55		4.72"
"2009.03.23	4.72		4.49"
"2009.02.25	4.49		4.74"
"2009.01.26	4.74		4.49"
"2008.12.23	4.45		4.98"
"2008.11.24	4.91		5.18"
"2008.10.24	5.18		4.91"
"2008.09.24	4.91		5.00"
"2008.08.25	5.00		4.86"
"2008.07.24	4.86		4.99"
"2008.06.26	4.99		4.89"
"2008.05.23	4.89		4.93"
"2008.04.22	4.93		5.03"
"2008.03.24	5.03		4.89"
"2008.02.25	4.89		4.89"
"2008.01.24	4.91		5.00"
"2007.12.31	5.00		4.97"
"2007.11.28	4.98		5.04"
"2007.10.24	5.03		5.50"
"2007.09.25	5.48		5.75"
"2007.08.27	5.75		5.75"
"2007.07.25	5.76		5.99"
"2007.06.25	5.99		5.99"
"2007.05.25	6.01		6.12"
"2007.04.24	6.15		6.69"
"2007.03.23	6.69		6.46"
"2007.02.27	6.44		6.22"
